198,311,19
196,312,48
200,316,82
218,326,115
234,338,148
254,352,182
274,368,215
616,360,580
630,349,615
642,341,647
647,334,682
648,331,714
647,331,748
642,334,780
632,342,814
620,354,847
256,356,1278
242,346,1313
232,338,1347
226,330,1381
224,326,1413
224,326,1445
228,330,1479
240,336,1512
612,362,1981
628,354,2013
638,349,2046
642,343,2079
641,340,2113
638,343,2146
632,345,2179
622,351,2212
608,360,2247
590,372,2280
568,384,2312
544,392,2347
300,372,2646
286,362,2678
278,354,2713
269,349,2745
262,348,2779
472,416,3179
500,416,3211
569,397,3313
585,392,3346
596,387,3379
606,381,3412
612,377,3447
616,374,3479
615,372,3514
608,375,3546
602,379,3579
594,384,3611
581,389,3645
560,396,3679
536,404,3713
513,409,3745
489,413,3779
464,416,3812
436,420,3845
410,416,3880
386,412,3912
364,406,3945
344,400,3979
325,393,4013
310,386,4045
298,378,4079
290,372,4112
284,372,4145
284,372,4178
288,372,4211
296,376,4245
304,380,4278
317,387,4311
334,392,4345
350,400,4377
370,406,4413
393,413,4446
420,416,4478
444,418,4513
464,422,4546
488,420,4579
512,416,4612
533,413,4645
550,410,4678
566,406,4711
578,399,4745
588,393,4779
592,389,4811
593,387,4845
592,387,4878
589,387,4911
584,389,4945
575,392,4978
560,396,5010
